"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(3, 0, 0, 0, 0, 1)",44034.402645061666,262.294999999991,,,,,,,,,,44035.98764506167,44033.86764506167,,44032.88764506167,44034.86764506167,,,,,,,,,,,0.010509312360856227,0.04700070605409851,,0.04105503702898735,0.016540907919866264,
"(2, 2, 0, 0, 0, 1)",44038.94764506167,266.8399999999965,,,,,,,,,,,,44038.94764506167,,,,,,,,,,,,,,,0.02924479599539319,,,
"(3, 0, 1, 1, 0, 0)",44042.44764506168,270.3400000000038,,,44042.86764506168,44042.02764506167,,,,,,,,,,,,,,0.029853772808810457,0.02431755633217925,,,,,,,,,,,
"(3, 0, 0, 2, 0, 0)",44045.816216490246,273.7085714285713,,44046.84764506168,,,44045.84764506167,44044.827645061676,,44045.80764506167,44044.747645061674,,,,,44045.82764506167,44046.80764506168,,0.07964033178790803,,,0.04419792373706381,0.04414246200626337,,0.06767797546098477,0.03393397129741028,,,,,0.057974292808925,0.03370728454796309
"(3, 0, 0, 1, 0, 1)",44049.934311728335,277.82666666666046,44049.96764506167,,,,,,,,,44049.967645061675,44049.86764506167,,,,,0.027153921214904127,,,,,,,,,0.055667989741166136,0.04321639092997096,,,,
"(3, 1, 0, 0, 0, 0)",44053.94764506167,281.8399999999965,,,,,,,,,,,,,44053.94764506167,,,,,,,,,,,,,,,0.022192437041353832,,
"(3, 1, 1, 0, 0, 0)",44068.46764506167,296.3599999999933,,,,,,,,,,44069.067645061674,,,,44067.86764506167,,,,,,,,,,,0.055306676391305126,,,,0.025212890268893482,
"(3, 1, 1, 1, 0, 0)",44083.817645061674,311.7099999999991,,,,,,,,,,44082.827645061676,,,,,44084.80764506168,,,,,,,,,,0.011841088854213885,,,,,0.09121631686160206
"(4, 0, 1, 0, 1, 0)",44087.11208950612,315.0044444444429,,44086.90764506168,44087.88764506168,,44086.84764506167,44086.84764506167,,44088.007645061676,44086.88764506167,,44087.88764506167,44085.86764506167,,44086.86764506167,,,0.01516645241731073,0.06689260298287553,,0.05446860353764998,0.07669323333602614,,0.04008543053393626,0.09251042757239998,,0.06446630153472573,0.06252103058749597,,0.06665972927147772,
"(3, 2, 0, 0, 0, 0)",44096.90764506168,324.8000000000029,,,,,,,,,,,,,44096.90764506168,,,,,,,,,,,,,,,0.017623656825300062,,
"(2, 4, 0, 0, 0, 0)",44102.287645061675,330.1800000000003,,,,,,,,,,,,44102.80764506167,,,44101.76764506168,,,,,,,,,,,,0.027321827753810608,,,0.02664677078118982
"(4, 0, 1, 0, 0, 0)",44105.85164506167,333.7439999999988,44106.80764506167,44104.84764506168,44104.84764506168,44106.88764506167,44106.827645061676,44106.787645061675,,44103.927645061674,,44105.90764506167,44105.827645061676,,,44105.84764506167,,0.022819025518358144,0.05406484196204628,0.05276944852484359,0.04408173070696311,0.0884434308556689,0.11999264581033396,,0.06949473975826907,,0.027328727652877673,0.09608100291842046,,,0.050149153137467255,
"(4, 0, 0, 1, 0, 0)",44109.327645061676,337.22000000000116,,,,,,,44108.80764506168,,44109.84764506167,,,,,,,,,,,,,0.05599872288896128,,0.060573937096322535,,,,,,
"(4, 0, 0, 0, 0, 1)",44112.80764506167,340.6999999999971,,,,,,,,,,,,44112.80764506167,,,,,,,,,,,,,,,0.030502797058791414,,,
"(4, 0, 0, 0, 0, 1)",44115.88764506168,343.7800000000061,,,,,,,,44115.827645061676,,,,,,,44115.94764506168,,,,,,,,0.018262255707493007,,,,,,,0.033452351814742466
