PTM pattern,average mass,mass shift,masses nutlin_5,masses nutlin_6,masses uv_5,masses uv_6,raw intensities nutlin_5,raw intensities nutlin_6,raw intensities uv_5,raw intensities uv_6,rel. abundances nutlin_5,rel. abundances nutlin_6,rel. abundances uv_5,rel. abundances uv_6
1[Cys]4[Ph-OH]1[Ac],44205.70946851264,553.1583391202294,44204.08052186412,44204.96083072312,44207.0910401701,44206.70548129324,0.3805126474875228,0.1949204407436383,0.37045535053331163,0.25692873194659493,0.06687972225211974,0.03496445861225664,0.06262549262712104,0.034354207749500876
3[Cys]2[Ph-OH]1[Ox],44222.07411603929,569.5229866468799,44222.07411603929,,,,0.20943032865527328,,,,0.03680992551527244,,,
2[Cys]1[Ph-OH]2[Ph]1[Me3]2[Me2]1[Ox],44262.98900030026,610.4378709078446,44262.98900030026,,,,0.09827666720355062,,,,0.017273318639567676,,,
3[Ph-OH]4[Ph],44266.337061288374,613.78593189596,,44266.22657214383,44266.44755043292,,,0.12843734530369127,0.13910193436653578,,,0.023038847167626234,0.023515187869601124,
5[Cys]1[Na]1[Ox],44286.27650340171,633.7253740092929,44285.866017860004,44285.47308345448,44287.338006148304,44286.428906144036,0.13945412805593357,0.1197156402784463,0.35642214593474214,0.24086964028643626,0.024510757823360402,0.021474364277991473,0.060253178798052524,0.03220692991497654
4[Cys]2[Ph]1[Ox],44305.01807406604,652.4669446736298,44305.613789980715,,44304.42235815137,,0.11697757848676366,,0.11830182540584107,,0.020560231073992952,,0.01999892857280317,
4[Cys]2[Ph]1[Ac]1[Me1],44345.11187473815,692.5607453457342,,,44345.11187473815,,,,0.13505598625237747,,,,0.022831220170313832,
5[Cys]1[Ph]1[Na]1[Me1],44364.330885242955,711.7797558505408,,,44364.330885242955,,,,0.1467386101389456,,,,0.024806168230911252,
5[Cys]1[Ph]1[Ac]1[Me1],44384.30289460169,731.7517652092793,,,44384.30289460169,,,,0.29972923050364775,,,,0.05066923905408941,
4[Cys]1[Ph-OH]3[Me3]1[Ac]1[Me2]1[Na],44445.43888922914,792.8877598367253,,,44445.43888922914,,,,0.11324570975576218,,,,0.019144192008976935,
4[Cys]3[Ph-OH]1[Ac],44465.06850283617,812.5173734437558,,,44465.06850283617,,,,0.14349732271830776,,,,0.02425822845579041,
