"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
"(4, 0, 1, 1, 0, 0)",44121.803639206315,350.77999999999884,0.6301876021308174,,44122.2492491332,44121.35802927943,,,,0.025580415081708555,0.029937702944497397,,
"(4, 0, 0, 2, 0, 0)",44123.167996974,353.09333333333296,0.11959472793947558,44123.035478446305,,,44123.26790187374,44123.20061060194,0.019190550756691415,,,0.017127055540009133,0.026777826989191802
"(4, 0, 2, 0, 0, 1)",44139.01547844631,369.6999999999971,,44139.01547844631,,,,,0.019520095212161016,,,,
"(4, 1, 1, 0, 0, 0)",44146.26790187374,375.76000000000204,,,,,44146.26790187374,,,,,0.04633785523008741,
"(4, 1, 1, 1, 0, 0)",44163.16790187374,392.6600000000035,,,,,44163.16790187374,,,,,0.03367804574802587,
"(5, 0, 1, 0, 0, 0)",44184.12061060194,413.72000000000116,,,,,,44184.12061060194,,,,,0.017589646901209396
"(5, 0, 0, 1, 0, 0)",44187.29363920631,416.79999999999563,1.3797207901869113,,44188.2692491332,44186.31802927943,,,,0.024079877083843796,0.03121018432659851,,
"(5, 0, 2, 0, 0, 0)",44198.035478446305,428.7199999999939,,44198.035478446305,,,,,0.016585560188605443,,,,
"(5, 0, 1, 1, 0, 0)",44201.06061060194,430.6600000000035,,,,,,44201.06061060194,,,,,0.02770976581171125
"(5, 0, 0, 2, 0, 0)",44203.35802927943,432.76000000000204,,,,44203.35802927943,,,,,0.03897540279395665,,
"(4, 2, 1, 1, 0, 0)",44205.28857550347,434.3000000000029,0.0009526562989610362,,44205.2892491332,,44205.287901873744,,,0.042303281765441826,,0.010589135478654334,
"(5, 1, 1, 0, 0, 0)",44226.18790187374,455.6800000000003,,,,,44226.18790187374,,,,,0.027087785253704578,
"(5, 0, 0, 0, 0, 3)",44236.18790187374,465.6800000000003,,,,,44236.18790187374,,,,,0.015419361000248532,
"(6, 0, 0, 0, 0, 0)",44250.06790187374,479.56000000000495,,,,,44250.06790187374,,,,,0.02624526655190488,
"(5, 2, 0, 0, 0, 0)",44253.97547844631,484.6599999999962,,44253.97547844631,,,,,0.016459608188008536,,,,
"(6, 0, 1, 0, 0, 0)",44263.26790187374,492.76000000000204,,,,,44263.26790187374,,,,,0.02008021717963511,
"(6, 0, 0, 1, 0, 0)",44266.14061060194,495.74000000000524,,,,,,44266.14061060194,,,,,0.01940450807097021
"(6, 0, 2, 0, 0, 0)",44278.107901873744,507.6000000000058,,,,,44278.107901873744,,,,,0.014132843180947695,
"(6, 0, 0, 2, 0, 0)",44284.1092491332,512.6399999999994,,,44284.1092491332,,,,,0.022904634602155083,,,
"(5, 3, 0, 0, 0, 0)",44296.180610601936,525.7799999999988,,,,,,44296.180610601936,,,,,0.02157641900107456
"(6, 0, 2, 0, 0, 1)",44299.05547844631,529.739999999998,,44299.05547844631,,,,,0.01793782075870216,,,,
"(7, 0, 0, 0, 1, 0)",44312.12790187374,541.6200000000026,,,,,44312.12790187374,,,,,0.02541411624503627,
"(6, 1, 0, 2, 0, 0)",44325.12790187374,554.6200000000026,,,,,44325.12790187374,,,,,0.011849582797373222,
"(6, 1, 0, 0, 0, 2)",44337.16790187374,566.6600000000035,,,,,44337.16790187374,,,,,0.012168375742507178,
"(6, 2, 0, 0, 0, 1)",44356.327901873745,585.820000000007,,,,,44356.327901873745,,,,,0.012723705257293069,
"(7, 1, 0, 0, 0, 0)",44373.107901873744,602.6000000000058,,,,,44373.107901873744,,,,,0.017202804462968874,
"(8, 0, 1, 1, 0, 0)",44440.94790187374,670.4400000000023,,,,,44440.94790187374,,,,,0.023304589131676035,
"(8, 1, 2, 0, 0, 0)",44480.08790187374,709.5800000000017,,,,,44480.08790187374,,,,,0.015215962745106242,
"(9, 0, 1, 0, 0, 0)",44505.12790187374,734.6200000000026,,,,,44505.12790187374,,,,,0.014785670317112322,
