mass shift,mass error (Da),PTM pattern,amount of PTMs
180.27994752777886,0.25094752777889084,1[Ph-OH]1[Me2]2[Ox]1[Na],5
200.6913377118035,1.569137711803478,1[Ph]1[Cys],2
200.6913377118035,0.7344377118035011,1[Ph]1[Ph-OH]1[Na],3
200.6913377118035,1.3051622881964988,2[Ph]1[Ac],3
200.6913377118035,1.3481622881965052,2[Ph]1[Me3],3
200.6913377118035,1.3482622881965085,2[Ph]1[Me1]1[Me2],4
200.6913377118035,1.488137711803495,1[Me3]1[Ox]1[Cys]1[Na],4
200.6913377118035,1.5311377118034954,1[Ac]1[Ox]1[Cys]1[Na],4
200.6913377118035,0.39576228819652215,1[Ox]1[Cys]3[Na],5
200.6913377118035,0.48476228819651035,1[Me2]2[Ox]1[Cys]1[Na],5
200.6913377118035,1.3482622881965085,2[Ph]3[Me1],5
216.7373142667857,0.4001857332143004,1[Ph-OH]1[Cys],2
216.7373142667857,1.2348857332142984,2[Ph-OH]1[Na],3
216.7373142667857,0.504985733214312,2[Ac]1[Me1]1[Cys],4
216.7373142667857,0.5479857332143183,1[Ac]1[Me1]1[Me3]1[Cys],4
216.7373142667857,0.5909857332143247,1[Me1]2[Me3]1[Cys],4
216.7373142667857,0.6711142667857075,2[Ph]2[Me2],4
216.7373142667857,0.6712142667857075,2[Ph]1[Me1]1[Me3],4
216.7373142667857,0.7810142667856894,1[Ph]1[Ph-OH]1[Ox]1[Na],4
216.7373142667857,1.2585857332143178,2[Ph]1[Ac]1[Ox],4
216.7373142667857,1.3015857332143241,2[Ph]1[Me3]1[Ox],4
259.312431740429,0.09523174042902838,1[Ph-OH]1[Me3]1[Cys],3
259.312431740429,0.13823174042900818,1[Ph-OH]1[Ac]1[Cys],3
259.312431740429,0.9539682595710133,2[Cys]1[Na],3
259.312431740429,1.3574317404290217,2[Ph]1[Ph-OH],3
259.312431740429,0.09513174042899664,1[Ph-OH]1[Me1]1[Me2]1[Cys],4
259.312431740429,0.6964682595709633,2[Ph-OH]1[Ac]1[Na],4
259.312431740429,0.7394682595709696,2[Ph-OH]1[Me3]1[Na],4
259.312431740429,0.009568259570983173,2[Ac]1[Me1]1[Me3]1[Cys],5
259.312431740429,0.009668259570983172,2[Ac]2[Me2]1[Cys],5
259.312431740429,0.0956682595709708,2[Me2]2[Me3]1[Cys],5
297.82883419911377,0.7114341991137962,1[Ph]1[Ph-OH]1[Cys],3
297.82883419911377,0.12326580088620176,1[Ph]2[Ph-OH]1[Na],4
297.82883419911377,1.465134199113777,1[Me3]1[Ox]2[Cys],4
297.82883419911377,1.5081341991137265,1[Ac]1[Ox]2[Cys],4
297.82883419911377,0.14696580088627798,3[Ph]1[Ac]1[Ox],5
297.82883419911377,0.1899658008862275,3[Ph]1[Me3]1[Ox],5
297.82883419911377,0.41876580088622145,1[Ox]2[Cys]2[Na],5
297.82883419911377,0.5077658008862613,1[Me2]2[Ox]2[Cys],5
297.82883419911377,0.520534199113744,1[Ph]2[Me2]1[Me3]1[Cys],5
297.82883419911377,0.520634199113772,1[Ph]1[Me1]2[Me3]1[Cys],5
309.94186751983943,0.043132480160522846,3[Ph-OH]1[Ox],4
309.94186751983943,1.2021324801605715,1[Ph]1[Ph-OH]1[Me1]1[Cys],4
309.94186751983943,1.5243675198394198,1[Me2]1[Me3]2[Cys],4
309.94186751983943,0.08773248016058233,3[Ph]1[Ac]1[Me2],5
309.94186751983943,0.1307324801605887,3[Ph]1[Me2]1[Me3],5
309.94186751983943,0.35953248016056705,1[Me2]2[Cys]2[Na],5
309.94186751983943,0.4054324801605844,1[Ac]1[Me1]1[Ox]2[Cys],5
309.94186751983943,0.4484324801605908,1[Me1]1[Me3]1[Ox]2[Cys],5
309.94186751983943,0.6896675198394385,1[Ph-OH]1[Me2]1[Me3]1[Cys]1[Na],5
309.94186751983943,1.392932480160539,1[Ph]1[Me2]2[Me3]1[Cys],5
357.41470815853245,0.012191841467597442,3[Cys],3
357.41470815853245,0.20230815853244072,2[Ph-OH]1[Me3]1[Cys],4
357.41470815853245,0.24530815853247756,2[Ph-OH]1[Ac]1[Cys],4
357.41470815853245,0.8468918414675954,1[Ph-OH]2[Cys]1[Na],4
357.41470815853245,1.4645081585324526,2[Ph]2[Ph-OH],4
357.41470815853245,0.20220815853247132,2[Ph-OH]1[Me1]1[Me2]1[Cys],5
357.41470815853245,0.5893918414675454,3[Ph-OH]1[Ac]1[Na],5
357.41470815853245,0.6323918414675518,3[Ph-OH]1[Me3]1[Na],5
357.41470815853245,1.169008158532506,1[Ph]1[Ox]2[Cys]1[Na],5
357.41470815853245,0.22440815853246932,2[Ph]2[Me2]1[Cys]1[Na],6
377.2763409384861,0.1790409384860919,2[Ph]1[Ph-OH]1[Cys],4
377.2763409384861,1.0401590615139185,1[Ph-OH]1[Ac]2[Cys],4
377.2763409384861,1.0831590615139248,1[Ph-OH]1[Me3]2[Cys],4
377.2763409384861,0.6556590615138589,2[Ph]2[Ph-OH]1[Na],5
377.2763409384861,0.7826590615138684,3[Ph-OH]2[Ac],5
377.2763409384861,0.8256590615138748,3[Ph-OH]1[Ac]1[Me3],5
377.2763409384861,0.8686590615138812,3[Ph-OH]2[Me3],5
377.2763409384861,0.932740938486063,1[Ph]1[Me3]1[Ox]2[Cys],5
377.2763409384861,0.975740938486088,1[Ph]1[Ac]1[Ox]2[Cys],5
377.2763409384861,1.0832590615138429,1[Ph-OH]1[Me1]1[Me2]2[Cys],5
394.5520561407902,0.5605438592098153,1[Ph]2[Ph-OH]1[Cys],4
394.5520561407902,0.19315614079022228,1[Ph-OH]1[Me3]1[Ox]2[Cys],5
394.5520561407902,0.23615614079017178,1[Ph-OH]1[Ac]1[Ox]2[Cys],5
394.5520561407902,0.8560438592098194,1[Ox]3[Cys]1[Na],5
394.5520561407902,1.1167561407902071,1[Me1]3[Cys]1[Na],5
394.5520561407902,0.1930561407901905,1[Ph-OH]1[Me1]1[Me2]1[Ox]2[Cys],6
394.5520561407902,0.28205614079018915,1[Ph-OH]1[Me1]2[Cys]2[Na],6
394.5520561407902,0.4076561407902659,3[Ph-OH]2[Me3]1[Ox],6
