average mass,mass shift,mass std,masses uv-1,masses uv-2,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv-1,rel. abundances uv-2,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
44048.028281059684,274.74000000000524,,,44048.028281059684,,,,,0.07964033178790803,,,
44048.981858714935,277.75999999999476,,,,,44048.981858714935,,,,,0.04321639092997096,
44067.99825139163,295.75999999999476,,,,,,44067.99825139163,,,,,0.025212890268893482
44087.000055053286,315.2699999999968,0.0025507627715441903,,,,44087.00185871494,44086.99825139163,,,,0.06446630153472573,0.06665972927147772
44088.07232077654,314.77000000000044,0.022571248882298698,44088.05636049339,44088.08828105968,,,,0.05446860353764998,0.01516645241731073,,,
44089.1953274324,315.90000000000146,,,,44089.1953274324,,,,,0.04008543053393626,,
44105.02859307367,332.77000000000044,0.12266090643541638,,,44105.115327432395,44104.94185871494,,,,0.06949473975826907,0.09608100291842046,
44106.003266225656,333.2400000000016,0.03537631753689941,,44106.028281059684,,,44105.978251391636,,0.05406484196204628,,,0.050149153137467255
44108.036360493395,334.72000000000116,,44108.036360493395,,,,,0.0884434308556689,,,,
44117.0153274324,343.72000000000116,,,,44117.0153274324,,,,,0.018262255707493007,,
44119.96828105968,346.6800000000003,,,44119.96828105968,,,,,0.029317481281007352,,,
44120.898251391634,348.6599999999962,,,,,,44120.898251391634,,,,,0.024978231960707344
44122.92185871494,351.6999999999971,,,,,44122.92185871494,,,,,0.05649956703745309,
44128.92828105968,355.6399999999994,,,44128.92828105968,,,,,0.060118535096345176,,,
44129.94331310581,356.993333333332,0.05961858411453188,44129.956360493394,,44129.99532743239,,44129.87825139164,0.05467704063060055,,0.05408526308154444,,0.03607658433935809
44145.04828105968,371.76000000000204,,,44145.04828105968,,,,,0.024437279789413034,,,
44147.94185871494,376.72000000000116,,,,,44147.94185871494,,,,,0.011843426702391214,
44150.87825139164,378.6399999999994,,,,,,44150.87825139164,,,,,0.025076023503472586
44166.94185871494,395.72000000000116,,,,,44166.94185871494,,,,,0.0384115796083475,
44168.975327432396,395.6800000000003,,,,44168.975327432396,,,,,0.015231162372758676,,
44186.936789412015,414.16999999999825,0.0827852623322692,,,44186.99532743239,,44186.87825139164,,,0.025209320901868927,,0.029481419329204298
44187.97550008934,415.36666666666616,0.07321496418868761,44187.97636049339,44188.04828105968,,44187.90185871494,,0.03720006488776218,0.03510039343686108,,0.0382424244546505,
44203.88326622566,431.119999999999,0.06366058877983383,,44203.92828105968,,,44203.83825139164,,0.0614214829033046,,,0.04511697344149472
44204.841858714935,433.61999999999534,,,,,44204.841858714935,,,,,0.04244198703107672,
44205.95532743239,432.6599999999962,,,,44205.95532743239,,,,,0.07031694004867925,,
44206.91636049339,433.59999999999854,,44206.91636049339,,,,,0.061264325322431756,,,,
44212.85825139163,440.61999999999534,,,,,,44212.85825139163,,,,,0.017542021701108565
44220.98828105968,447.70000000000437,,,44220.98828105968,,,,,0.03541577588837501,,,
44262.88828105968,489.59999999999854,,,44262.88828105968,,,,,0.016394844451690312,,,
44266.83005505329,495.09999999999854,0.011591372855067892,,,,44266.82185871494,44266.83825139164,,,,0.017521750336176173,0.02524793908470771
44267.835843962894,494.52999999999884,0.0007304844348124063,44267.83636049339,,44267.835327432396,,,0.023700383818613932,,0.016389715339161306,,
44285.80506988731,513.5499999999993,0.1176783685044482,,44285.88828105968,,44285.72185871494,,,0.02318273692446693,,0.01645586618123546,
44286.77825139163,514.5399999999936,,,,,,44286.77825139163,,,,,0.03214938052817057
44287.83636049339,514.5199999999968,,44287.83636049339,,,,,0.0591524774981319,,,,
44302.79664643914,529.8466666666645,0.02056355825732686,44302.816360493394,,44302.77532743239,,44302.798251391636,0.018840449142078244,,0.01989274215832035,,0.014678048906614845
44304.82828105968,531.5400000000009,,,44304.82828105968,,,,,0.019475592054087557,,,
44344.77636049339,571.4599999999991,,44344.77636049339,,,,,0.020234210782053137,,,,
44362.68185871494,591.4599999999991,,,,,44362.68185871494,,,,,0.017577777189472035,
44364.77636049339,591.4599999999991,,44364.77636049339,,,,,0.020290946891340342,,,,
44382.68185871494,611.4599999999991,,,,,44382.68185871494,,,,,0.01439197920757387,
44383.77532743239,610.4799999999959,,,,44383.77532743239,,,,,0.032782065993545814,,
44384.75636049339,611.439999999995,,44384.75636049339,,,,,0.049829455676831814,,,,
44397.58828105968,624.3000000000029,,,44397.58828105968,,,,,0.01763077830265989,,,
44445.73636049339,672.4199999999983,,44445.73636049339,,,,,0.019123706127488985,,,,
44448.77532743239,675.4799999999959,,,,44448.77532743239,,,,,0.018487941687284716,,
44461.78828105968,688.5,,,44461.78828105968,,,,,0.014903241169530788,,,
44462.755327432395,689.4599999999991,,,,44462.755327432395,,,,,0.026660286031845264,,
44464.69636049339,691.3799999999974,,44464.69636049339,,,,,0.023243711304947973,,,,
