,mass mean,mass std,nutlin_7hr_rep1_ms1_01,nutlin_7hr_rep1_ms1_02,nutlin_7hr_rep2_ms1_01,uv_7hr_rep1_ms1_01,uv_7hr_rep1_ms1_02,uv_7hr_rep2_ms1_01,xray-nutlin_7hr_rep1_ms1_01,xray-nutlin_7hr_rep1_ms1_02,xray-nutlin_7hr_rep2_ms1_01,xray_2hr_rep1_ms1_01,xray_2hr_rep1_ms1_02,xray_7hr_rep1_ms1_01,xray_7hr_rep1_ms1_02,xray_7hr_rep2_ms1_01
23,13905.02790015332,0.4327303863892241,,13905.907854091158,,,13904.82353085475,,13904.921079188813,13904.8231446185,,,13904.828493739595,,13904.863298427095,
24,13909.721079188814,,,,,,,,13909.721079188814,,,,,,,
25,13914.65315515225,0.7072994942052251,,,13914.771928798189,13914.819289638031,13913.783530854751,,13915.841079188813,13913.783144618501,,,13914.788493739594,13914.784619227874,,
26,13917.006996886297,0.960334022246499,13916.748247157564,13916.827854091156,,,,13916.78834725522,,,13917.778972255219,13915.794851161469,13917.768493739593,13918.764619227875,13915.803298427094,13916.788288661468
27,13918.746123947925,0.015895619122403306,,,13918.731928798188,,,,,13918.7431446185,,,,,13918.763298427093,
28,13922.087781436063,0.8701089909053074,,13921.727854091157,,,13921.64353085475,,13921.721079188814,13923.643144618502,,,,,13921.703298427094,
29,13929.77338997983,0.0020664228930566495,,,13929.771928798189,,,,,,,13929.77485116147,,,,
30,13944.809521571624,0.018240505851898278,,,13944.791928798188,,,13944.82834725522,,,,,,,,13944.808288661468
31,13954.14050057553,0.6726627481571252,13954.448247157563,13952.947854091157,13954.451928798188,13954.499289638032,,13954.48834725522,13952.961079188812,,,13954.49485116147,,13954.484619227875,,13954.488288661469
32,13958.3565039935,0.6157836641827185,,,13958.791928798188,,,,13957.921079188813,,,,,,,
33,13970.258115321623,0.4450547612757813,13969.448247157563,,13970.471928798188,13970.499289638032,,13970.48834725522,,,13969.49897225522,13970.474851161469,13970.468493739594,13970.484619227875,,13970.488288661469
34,13984.607004210515,0.6070729458687575,13984.468247157562,,13984.471928798188,13984.519289638032,,13985.508347255218,,,13983.49897225522,13985.514851161468,13984.488493739595,13984.484619227875,,13984.50828866147
35,13995.808288661468,,,,,,,,,,,,,,,13995.808288661468
36,14000.514851161468,,,,,,,,,,,14000.514851161468,,,,
37,14003.913741135426,0.8524092286118662,,14002.967854091155,14003.891928798188,14004.919289638032,,,14003.961079188812,14002.9031446185,14002.918972255218,,14004.888493739594,14004.884619227876,,14003.88828866147
38,14005.293313662627,0.5571319363837562,14004.868247157563,,,,14004.883530854751,14004.90834725522,,14005.8831446185,,,,,14005.923298427093,
54,14012.784619227874,,,,,,,,,,,,,14012.784619227874,,
39,14014.820017177095,1.339237233230006,14013.708247157563,,,14015.95928963803,,14015.728347255219,14016.001079188813,,,14014.75485116147,,,,14012.76828866147
40,14017.105619879881,0.40449558061034835,,14017.007854091156,14016.911928798188,,14016.92353085475,,,14016.9231446185,14016.938972255219,,,,,14017.92828866147
41,14019.94834725522,,,,,,,14019.94834725522,,,,,,,,
42,14025.75485116147,,,,,,,,,,,14025.75485116147,,,,
43,14045.841092910094,0.574862387212086,,14045.987854091156,14045.911928798188,14045.95928963803,14045.94353085475,14044.94834725522,14045.981079188812,14045.9231446185,14045.938972255219,,14046.928493739593,,,14044.88828866147
44,14049.44468392514,0.6556361056958944,,,,,,,14048.981079188812,,,,,,,14049.908288661469
45,14053.45485116147,,,,,,,,,,,14053.45485116147,,,,
46,14068.451599208345,0.004598956213679466,,,,,,14068.44834725522,,,,14068.45485116147,,,,
47,14082.981599208344,0.7166499605969077,,,,,,14083.48834725522,,,,14082.474851161469,,,,
48,14085.72828866147,,,,,,,,,,,,,,,14085.72828866147
49,14089.72828866147,,,,,,,,,,,,,,,14089.72828866147
50,14103.02325099406,0.3733177088208651,,,14102.851928798187,14102.899289638031,,14103.868347255218,14102.921079188813,,14102.878972255217,14102.874851161469,,,,14102.86828866147
51,14112.875450526702,1.4092330861443312,,,14113.871928798188,,,,,,14111.878972255217,,,,,
52,14114.398317958345,0.7212903488476212,,,,,,14114.90834725522,,,,,,,,14113.88828866147
53,14144.460184413421,0.7366564559270177,,,,14143.93928963803,,,14144.981079188812,,,,,,,
