"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses uv_7hr,masses nutlin_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances uv_7hr,rel. abundances nutlin_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
"(3, 0, 0, 1, 0, 0)",44030.36665632849,257.69464051008254,0.6076250606793695,44030.01636049339,44031.06828105968,44030.0153274324,,,0.15015041614080224,0.09953200449796783,0.1480937534374417,,
"(3, 0, 0, 0, 0, 1)",44033.990055053284,261.31803923487314,1.425804935228163,,,,44032.981858714935,44034.99825139163,,,,0.04700070616028543,0.016540908208787414
"(3, 0, 1, 0, 0, 1)",44047.4040158184,274.73199999998906,1.1464532804688816,44047.05636049339,44048.028281059684,44046.99532743239,44048.981858714935,44045.95825139163,0.044197923675250064,0.07964033174853098,0.06767797547195249,0.043216390908786054,0.05797429268506335
"(3, 1, 1, 0, 0, 0)",44067.99825139163,295.3262355732222,,,,,,44067.99825139163,,,,,0.02521289033182501
"(4, 0, 1, 0, 1, 0)",44087.86801581841,315.1959999999963,0.915486878621326,44088.05636049339,44088.08828105968,44089.1953274324,44087.00185871494,44086.99825139163,0.054468603579792725,0.01516645245179857,0.04008543054865753,0.06446630155742535,0.06665972927055074
"(4, 0, 1, 0, 0, 0)",44105.515929649664,332.8439138312533,0.5675341208607455,,44106.028281059684,44105.115327432395,44104.94185871494,44105.978251391636,,0.054064841995478154,0.06949473981200553,0.0960810029981279,0.05014915313886973
"(4, 0, 0, 1, 0, 0)",44108.036360493395,335.36434467498475,,44108.036360493395,,,,,0.0884434309153765,,,,
"(4, 0, 0, 0, 0, 1)",44117.0153274324,344.34331161398586,,,,44117.0153274324,,,,,0.018262255796442212,,
"(4, 0, 2, 0, 0, 0)",44121.26279705542,348.590781237006,1.5101574080695448,,44119.96828105968,,44122.92185871494,44120.898251391634,,0.029317481320372527,,0.05649956706696552,0.024978231963220826
"(4, 0, 0, 1, 0, 1)",44129.68955509427,357.01753927586105,0.5098451700098009,44129.956360493394,44128.92828105968,44129.99532743239,,44129.87825139164,0.05467704065728466,0.06011853508604103,0.054085263161271664,,0.036076584310547756
"(4, 0, 1, 1, 0, 1)",44145.04828105968,372.3762652412697,,,44145.04828105968,,,,,0.024437279700935535,,,
"(4, 1, 1, 0, 0, 0)",44147.94185871494,375.26984289653046,,,,,44147.94185871494,,,,,0.0118434266173933,
"(4, 1, 0, 1, 0, 0)",44150.87825139164,378.2062355732269,,,,,,44150.87825139164,,,,,0.025076023548913737
"(5, 0, 1, 0, 1, 0)",44167.958593073665,395.2865772552541,1.4378795194428065,,,44168.975327432396,44166.94185871494,,,,0.015231162342431492,0.0384115796340815,
"(5, 0, 1, 0, 0, 0)",44187.56001581841,414.887999999999,0.5727735388094266,44187.97636049339,44188.04828105968,44186.99532743239,44187.90185871494,44186.87825139164,0.03720006487129653,0.03510039343015475,0.025209320850533526,0.03824242449190151,0.02948141930138516
"(5, 0, 0, 2, 0, 0)",44205.0960158184,432.4239999999918,1.328744034691818,44206.91636049339,44203.92828105968,44205.95532743239,44204.841858714935,44203.83825139164,0.06126432534254623,0.0614214829222578,0.07031694001993033,0.04244198706983139,0.04511697348614712
"(5, 1, 0, 0, 0, 0)",44212.85825139163,440.1862355732228,,,,,,44212.85825139163,,,,,0.017542021706486638
"(4, 3, 0, 0, 0, 0)",44220.98828105968,448.31626524127205,,,44220.98828105968,,,,,0.03541577590964097,,,
"(4, 4, 0, 0, 0, 0)",44262.88828105968,490.2162652412662,,,44262.88828105968,,,,,0.016394844469062392,,,
"(6, 0, 1, 0, 0, 0)",44267.33294950809,494.66093368967995,0.5807312127019145,44267.83636049339,,44267.835327432396,44266.82185871494,44266.83825139164,0.023700383796570725,,0.016389715330000314,0.017521750361107466,0.025247939084391477
