"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_7hr,masses uv_7hr,masses xray-nutlin_7hr,masses xray_2hr,masses xray_7hr,rel. abundances nutlin_7hr,rel. abundances uv_7hr,rel. abundances xray-nutlin_7hr,rel. abundances xray_2hr,rel. abundances xray_7hr
"[1, 0, 0, 1, 0, 2]",43910.01927562743,139.57105275922368,0.5975512304868937,,,43909.59674310024,43910.44180815461,,,,0.05259018474724125,0.007677203910652618,
"[1, 0, 0, 0, 0, 3]",43916.24279400959,145.79457114138495,,43916.24279400959,,,,,0.016497836664336837,,,,
"[2, 0, 0, 0, 0, 0]",43928.9148265466,158.4666036783965,1.286544864504325,43929.262794009584,43930.46303670478,43928.536743100245,,43927.3967323718,0.050467142171033916,0.030310456691665735,0.055547421992968915,,0.021808098210665986
"[1, 0, 0, 1, 0, 3]",43932.36180815461,161.91358528640558,,,,,43932.36180815461,,,,,0.021593291290693314,
"[2, 0, 0, 1, 0, 0]",43945.834826546605,175.38660367840203,1.0400181269833186,43945.20279400959,43947.38303670478,43945.496743100244,,43945.2567323718,0.07576720298125517,0.08019918313061304,0.05891030995167448,,0.05839578625635855
"[1, 2, 1, 0, 0, 0]",43949.26180815461,178.81358528640703,,,,,43949.26180815461,,,,,0.06264377768049166,
"[1, 2, 0, 0, 0, 1]",43957.296732371804,186.84850950360124,,,,,,43957.296732371804,,,,,0.04861813921519894
"[2, 0, 0, 2, 0, 0]",43962.85976855492,192.41154568671482,0.9573865833835653,43962.18279400959,,43963.536743100245,,,0.05894077307202565,,0.020322210081177156,,
"[0, 4, 2, 1, 1, 0]",43965.3824224297,194.93419956149592,0.02915298740610126,,43965.40303670478,,43965.36180815461,,,0.030100256039447448,,0.059146118272921266,
"[1, 3, 0, 0, 0, 0]",43978.402422429695,207.95419956149271,1.3567763037189144,,43977.44303670478,,43979.36180815461,,,0.02385505017109404,,0.02280434358056851,
"[2, 0, 0, 2, 0, 1]",43984.18279400959,213.73457114138728,,43984.18279400959,,,,,0.013702004339062539,,,,
"[2, 1, 0, 1, 0, 0]",43987.48180815461,217.0335852864082,,,,,43987.48180815461,,,,,0.008564788059775879,
"[2, 1, 1, 1, 0, 0]",44003.2160928102,232.76786994199938,0.7441619386795529,44004.10279400959,44003.26303670478,,44002.281808154614,44003.2167323718,0.10321057917965562,0.09843541655723091,,0.041156260859651655,0.12396055386740507
"[3, 0, 0, 1, 1, 0]",44007.43674310025,236.9885202320438,,,,44007.43674310025,,,,,0.032662067625498926,,
"[3, 0, 0, 0, 0, 0]",44010.34180815461,239.89358528640878,,,,,44010.34180815461,,,,,0.022337316190615172,
"[1, 3, 0, 0, 0, 2]",44021.209763190695,250.76154032249178,1.376073380689008,44022.18279400959,,,,44020.2367323718,0.05153879434937208,,,,0.02450527431400884
"[3, 0, 0, 1, 0, 0]",44026.329884538296,255.8816616700933,1.3673293189030997,,44025.36303670478,,,44027.296732371804,,0.06197539229689613,,,0.030687025001898596
"[3, 0, 0, 1, 0, 0]",44028.37927562743,257.93105275922426,1.4672005705765903,,,44029.41674310024,44027.34180815461,,,,0.04903731941830123,0.034041791232311415,
"[3, 0, 0, 2, 0, 0]",44043.2223010821,272.7740782139008,1.5266535426223797,44042.14279400959,,,44044.30180815461,,0.029807578950572827,,,0.03519523152406708,
"[3, 0, 0, 1, 0, 1]",44047.38303670478,276.9348138365749,,,44047.38303670478,,,,,0.025990451121460624,,,
"[3, 1, 0, 1, 1, 0]",44050.3167323718,279.86850950359803,,,,,,44050.3167323718,,,,,0.022128549799493004
"[3, 1, 0, 0, 0, 0]",44053.281808154614,282.8335852864111,,,,,44053.281808154614,,,,,0.024054583220710895,
"[1, 4, 0, 0, 0, 2]",44063.26291535718,292.81469248898065,0.08502442515922745,44063.20279400959,44063.32303670478,,,,0.022554583778267693,0.012505031764968876,,,
"[3, 1, 1, 0, 0, 0]",44067.32180815461,296.8735852864047,,,,,44067.32180815461,,,,,0.05470826656748614,
"[3, 2, 0, 0, 1, 0]",44077.14279400959,306.6945711413864,,44077.14279400959,,,,,0.016721577576315327,,,,
"[3, 1, 2, 0, 0, 0]",44080.196732371805,309.7485095036027,,,,,,44080.196732371805,,,,,0.019523887924810607
