sigma noise (a.u.),vertical noise (a.u.),basal noise (a.u.),horizontal noise (Da)
0.1214543214168995,-0.146727017774779,0.0,0.0400000000008731
0.1214822622523715,-0.1454850634454553,0.0,0.0400000000008731
0.1216016497016834,-0.1449578836154057,0.0,0.0400000000008731
0.1218221007702972,-0.1437831677879978,0.0,0.0400000000008731
0.1220086409879342,-0.1430746828259377,0.0,0.0400000000008731
0.1221999181125221,-0.1430458063477288,0.0,0.0400000000008731
0.1223342727467207,-0.1428450755997741,0.0,0.0400000000008731
0.1226028589475234,-0.1424557985874652,0.0,0.0400000000008731
0.1226535841310723,-0.1416911517045549,0.0,0.0400000000008731
0.1226691449423165,-0.1411313904359065,0.0,0.0400000000008731
0.1227633988566562,-0.1409409907656387,0.0,0.0400000000008731
0.1227944236004084,-0.1402468613096681,0.0,0.0599999999976716
0.1228035073434146,-0.1402214596678363,0.0,0.0599999999976716
0.1228533485719074,-0.1396377497417775,0.0,0.0599999999976716
0.1229622346963843,-0.1394204905215578,0.0,0.0599999999976716
0.1229651341000705,-0.1383479248167164,0.0,0.0599999999976716
0.1230008602147894,-0.1381931268511507,0.0,0.0599999999976716
0.1230385565429598,-0.1379919843722819,0.0,0.0599999999976716
0.1231002704821653,-0.1377651595064972,0.0,0.0599999999976716
0.1231898868685125,-0.1373280877115355,0.0,0.0599999999976716
0.1233995427504988,-0.1370499388731785,0.0,0.0599999999976716
0.1234618681164513,-0.1355730995381121,0.0,0.0599999999976716
0.1235944479571154,-0.1334230824190179,0.0,0.0599999999976716
0.1237563775405649,-0.1333877338318512,0.0,0.0599999999976716
0.1238120850264583,-0.1331483252562491,0.0,0.0599999999976716
0.1238274845504229,-0.1331387251717948,0.0,0.0600000000049476
0.1239686808398004,-0.1326905901164796,0.0,0.0600000000049476
0.123989799350157,-0.1325457261482309,0.0,0.0600000000049476
0.124001952820542,-0.1322944363318252,0.0,0.0600000000049476
0.1242271795412043,-0.1319544287817439,0.0,0.0600000000049476
0.1242735995997392,-0.131280494614123,0.0,0.0600000000049476
0.1245202768580409,-0.1307876191502402,0.0,0.0799999999944702
0.1246678841758854,-0.1307026827063029,0.0,0.0800000000017462
0.1246835624273373,-0.1296851896602212,0.0,0.0800000000017462
0.1246940723937786,-0.1295424732076157,0.0,0.0800000000017462
0.1247462231968988,-0.1294971474937026,0.0,0.0800000000017462
0.124820733788937,-0.1291978666967347,0.0,0.0800000000017462
0.1251402146501733,-0.1286117116083507,0.0,0.0800000000017462
0.1253716717339823,-0.1284876316687052,0.0,0.0999999999985448
0.125426839628903,-0.1284103794277315,0.0,0.0999999999985448
0.1255668056548675,-0.127831164611452,0.0,0.0999999999985448
0.1255911231599196,-0.1276186628693009,0.0,0.1000000000058207
0.1256703975316614,-0.1272296200195243,0.0,0.1199999999953433
0.1257980628456309,-0.1268219357264081,0.0,0.1199999999953433
0.1258297515032562,-0.1261578930052724,0.0,0.1200000000026193
0.1259472548749584,-0.1260558716530095,0.0,0.1399999999994179
0.125960753827291,-0.1258329683904053,0.0,0.1399999999994179
0.1260988227184677,-0.1257101877756249,0.0,0.1399999999994179
0.1261288116008403,-0.1256589111985575,0.0,0.1399999999994179
0.1262205755003476,-0.1248508021222471,0.0,0.1399999999994179
0.1262723885103075,-0.1239920711960318,0.0,0.1399999999994179
0.1263008032235219,-0.123881918418273,0.0,0.1399999999994179
0.1263795042381583,-0.1228989805320768,0.0,0.1599999999962165
0.1264493469539043,-0.1228326151594472,0.0,0.1599999999962165
0.1265340752666188,-0.1224886089423694,0.0,0.1599999999962165
0.1265428493809179,-0.1224176333291614,0.0,0.1599999999962165
0.1265809454874759,-0.121908367196971,0.0,0.1600000000034924
0.1267071324804485,-0.1217428309489712,0.0,0.180000000000291
0.1267735552253582,-0.1213548954384959,0.0,0.180000000000291
0.126813056951606,-0.1212108887109914,0.0,0.180000000000291
0.126862055236298,-0.1203659756047156,0.0,0.180000000000291
0.1268677982986083,-0.1203471840877914,0.0,0.180000000000291
0.1268870534999307,-0.1200545663013434,0.0,0.180000000000291
0.1269379467628795,-0.1200230545381494,0.0,0.180000000000291
0.1269870737634079,-0.1198127326300344,0.0,0.180000000000291
0.127025527997626,-0.1197232035190868,0.0,0.180000000000291
0.127037517006349,-0.1195614345821732,0.0,0.180000000000291
0.1272631152433283,-0.1193983119929144,0.0,0.180000000000291
0.1273215985618307,-0.1192231324648449,0.0,0.1999999999970896
0.127434109985896,-0.1190536660047459,0.0,0.1999999999970896
0.1278743390659389,-0.1190319267115345,0.0,0.1999999999970896
0.1279645031690208,-0.1189710783685211,0.0,0.1999999999970896
0.127979362006329,-0.1189384452293315,0.0,0.1999999999970896
0.1280879636669654,-0.1188532169897375,0.0,0.1999999999970896
0.1281179359565713,-0.1180904267839599,0.0,0.1999999999970896
0.1281853874509266,-0.1178747735023212,0.0,0.1999999999970896
0.1283285291625479,-0.11775899670939,0.0,0.2000000000043655
0.1286101199720308,-0.1174611341727536,0.0,0.2000000000043655
0.1287169099880917,-0.1171620538941577,0.0,0.2000000000043655
0.1290573250567804,-0.1170605407094794,0.0,0.2000000000043655
0.129138568346063,-0.1170495669541911,0.0,0.2000000000043655
