"PTM pattern (P,Ac,Me,Ox,-H2O)",average mass,mass shift,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(6, 0, 0, 1, 0)",44267.00764506167,494.8999999999942,,,44266.66764506168,44268.827645061676,44266.62764506167,44265.62764506168,,44266.647645061676,44268.647645061676,,44267.70764506167,,44267.00764506168,44266.70764506167,44265.607645061675,,,0.02151161824634263,0.011555056258428464,0.022754786606748508,0.011738589457861904,,0.012955283676673826,0.03456745947980412,,0.017068188383745925,,0.018049355813310547,0.023774049872917556,0.028945165433962906
"(6, 0, 2, 0, 0)",44279.99431172834,507.8866666666654,,,,,,,,,,44278.827645061676,,44280.54764506167,,,44280.607645061675,,,,,,,,,,0.013471889570271255,,0.013482628237499213,,,0.02541352769442469
"(6, 0, 0, 2, 0)",44284.97364506168,512.8660000000018,44285.747645061674,44284.70764506167,44283.70764506168,44284.747645061674,44286.62764506167,44285.607645061675,,44282.62764506167,,,44286.607645061675,,44282.70764506168,44286.64764506167,,0.011903026991021337,0.02232215264442806,0.020058950687084975,0.019766853097286503,0.056812021131103375,0.02971207681522641,,0.019314357680674788,,,0.016035884858536093,,0.014078282824085828,0.030152859867704294,
"(6, 1, 0, 0, 0)",44292.41764506168,520.310000000005,,,,44292.747645061674,,,,,,,44293.70764506167,44292.62764506167,,,44290.58764506168,,,,0.009916038415639629,,,,,,,0.00841742110313276,0.023416457599015856,,,0.029225571375003045
"(4, 5, 0, 0, 0)",44301.96431172834,529.8566666666666,44301.84764506167,44303.647645061676,,,44301.607645061675,,,44301.58764506167,,,,,,44302.66764506167,44300.427645061674,0.018103371965582975,0.01832820151349439,,,0.017969432158642152,,,0.0175282365376001,,,,,,0.014972020328239254,0.01960807098223717
"(7, 0, 1, 0, 0)",44343.19564506168,571.0880000000034,,,,,44343.567645061674,44343.62764506168,,,44342.58764506168,,44344.607645061675,,,,44341.58764506168,,,,,0.018974130034389802,0.015533008838550699,,,0.011908351759542503,,0.010400945461713586,,,,0.018698371846443868
"(7, 0, 0, 2, 0)",44363.47264506167,591.364999999998,,,,,44363.567645061674,,,,,,44363.567645061674,44363.20764506167,,44363.54764506167,,,,,,0.019338640781248896,,,,,,0.0142824665177601,0.01501660500588429,,0.008020033407627773,
"(6, 2, 0, 2, 0)",44367.660978395004,595.5533333333296,,,,,,44368.54764506168,,,,,,,44366.80764506167,,44367.62764506168,,,,,,0.010292535855266028,,,,,,,0.01284374228007721,,0.029902847920285244
"(5, 5, 0, 0, 0)",44383.59264506167,611.4849999999933,,,,44384.66764506167,44383.54764506167,,,44382.58764506167,,,44383.567645061674,,,,,,,,0.009922574953472249,0.0478307073021741,,,0.029961214669657073,,,0.010579953866914408,,,,
"(7, 1, 0, 2, 0)",44405.11764506168,633.010000000002,,,,,,,,,,,,,,44405.607645061675,44404.62764506168,,,,,,,,,,,,,,0.010657375811235893,0.014743366719603074
"(8, 1, 0, 0, 0)",44453.98764506167,681.8799999999974,,44454.54764506168,44453.427645061674,,,,,,,,,,,,,,0.013339797300091091,0.010826009628118497,,,,,,,,,,,,
