"PTM pattern (P,Ac,Me,Ox,-H2O,Na)",average mass,mass shift,mass std,masses nutlin_only_rep1,masses nutlin_only_rep5,masses nutlin_only_rep6,masses uv_7hr_rep1,masses uv_7hr_rep5,masses uv_7hr_rep6,masses xray-nutlin_rep1,masses xray-nutlin_rep5,masses xray-nutlin_rep6,masses xray_2hr_rep1,masses xray_2hr_rep5,masses xray_2hr_rep6,masses xray_7hr_rep1,masses xray_7hr_rep5,masses xray_7hr_rep6,rel. abundances nutlin_only_rep1,rel. abundances nutlin_only_rep5,rel. abundances nutlin_only_rep6,rel. abundances uv_7hr_rep1,rel. abundances uv_7hr_rep5,rel. abundances uv_7hr_rep6,rel. abundances xray-nutlin_rep1,rel. abundances xray-nutlin_rep5,rel. abundances xray-nutlin_rep6,rel. abundances xray_2hr_rep1,rel. abundances xray_2hr_rep5,rel. abundances xray_2hr_rep6,rel. abundances xray_7hr_rep1,rel. abundances xray_7hr_rep5,rel. abundances xray_7hr_rep6
"(1, 0, 0, 1, 0, 0)",43867.23462923545,95.12698417377396,1.4167934373616995,43865.23547844631,,,43868.5092491332,,43868.351912072336,43865.558029279426,43869.13532743239,,43867.36790187374,,43867.338525044215,43866.38061060193,,,0.10240893620142456,,,0.12659026985244778,,0.03139246880863832,0.13317052327627327,0.015069845923657206,,0.09108976198096642,,0.04111887264926457,0.13026830444451037,,
"(0, 2, 1, 0, 0, 0)",43871.03450837026,98.92686330858851,0.9057251048960405,43871.25547844631,,43870.442444928165,,,,,,,,43870.22185871494,,,43872.218251391634,,0.03667342905371483,,0.02302178155428729,,,,,,,,0.03486599486175551,,,0.019941598514395545,
"(0, 2, 0, 0, 0, 1)",43877.48061060194,105.37296554026398,,,,,,,,,,,,,,43877.48061060194,,,,,,,,,,,,,,,0.040826873723800124,,
"(1, 0, 1, 1, 0, 0)",43882.28835637345,110.18071131177567,0.01821213921139005,43882.27547844631,,,,,,,,,,,,,,43882.30123430058,0.0247862850186401,,,,,,,,,,,,,,0.013826392281164683
"(1, 0, 0, 1, 0, 1)",43890.18790187374,118.08025681206345,,,,,,,,,,,43890.18790187374,,,,,,,,,,,,,,,0.025808451486059515,,,,,
"(1, 1, 0, 1, 0, 0)",43910.652581277725,138.5449362160507,1.3122560488959907,,,,,,43912.41191207233,43910.57802927943,,,,43909.24185871494,43910.378525044216,,,,,,,,,0.036478559054267515,0.04772013136464372,,,,0.02293988187772943,0.051757683908488415,,,
"(1, 1, 1, 1, 0, 0)",43924.18956782308,152.0819227614047,0.015616847635849591,,,,,,,,,,,,43924.17852504421,43924.20061060194,,,,,,,,,,,,,,0.02577173102680302,0.018476809639793375,,
"(1, 1, 0, 2, 0, 0)",43926.90675386287,154.7991088011986,0.8927582556907734,43926.27547844631,,,,,,43927.53802927943,,,,,,,,,0.027965384102608622,,,,,,0.05203969705245096,,,,,,,,
"(2, 0, 0, 0, 0, 0)",43930.92857550347,158.82093044179783,0.7061541248875864,,,,43930.4292491332,,,,,,43931.42790187374,,,,,,,,,0.027740528636359185,,,,,,0.018255937114225136,,,,,
"(2, 0, 0, 0, 0, 0)",43934.19547844631,162.087833384634,,43934.19547844631,,,,,,,,,,,,,,,0.038786481926868586,,,,,,,,,,,,,,
